Add test CSS Transform support in SVG,3
Detect support for scrollIntoView(scrollIntoViewOptions),1
cssvwunit/cssvhunit tests give false negative in some browser zoom/widths,1
False positive on pointer lock,1
Double font file loading (via google API) in Firefox when modernizr is loaded at end of body,1
CORS detection in Chrome when on file protocol,1
video autoplay gives incorrect value in IE and Edge,1
softhyphensfind bug,1
"test for ""w"" syntax support in <img srcset>",3
"Occasional 'Aw, Snap!' in Chrome when devtools open",1
testAllProps set twice,1
chunit test false positive for MSIE,1
Configuration Options not working,1
Emoji test produces false negative in Firefox 41.0 on OS X 10.10,1
transform3d detected false in chrome,1
Certain builds contain syntax errors,1
webkit bug (csstransforms3d),1
Installing using Build-URL via Bower strips off dash in class-prefix,1
Breaking change in no-js/js behavior moving from v2 to v3,1
Detect data URI in links support with Modernizr,3
"CSS ""vw unit"" test fails when <body> css is ""overflow-y: scroll""",1
Modernizr.csstransforms3d returns false negative in chrome 46,1
Add feature test for box-decoration-break,3
hiddenscroll not working on Chrome (OS X),1
Builder on site returning undefined,1
Using csshyphens test breaks anchors on page load,1
Modernizr v3 flash detect always returning {block: true} on Mac Safari 9.0 and Windows 10 Edge,1
@font-face false negative on Android/Firefox 42.0.2,1
"false detect: CSS-filters, svg-filters",1
No longer possible to pass path to custom tests to Modernizr.build,1
Updated Test for CSS Scroll Snap,3
vh unit issue on ios safari,1
New getUserMedia API,3
Modernizr.csstransforms3d returns false negative in chrome iFrame,1
No no-js→js swap if Add CSS Classes is unselected,1
Modernizr.localizednumber moves head below body,1
`datauri` false negative in Firefox 43.0.x,1
bug forms/inputnumber-l10n,1
Publish each feature detect as a stand-alone npm module,1
Possible to add Dolby Digital Plus to Modernizr?,3
Optionally set an element to append classes to,3
Flash blocking detection fails if the tab is out of focus,1
Can we re-run tests ?,1
Download builder doesn't work properly in Safari,1
vwunit issue in IOS browser,1
"FeatureDetects for audiopreload, videoautoplay, and blobworkers are flakey.",1
Chrome 50 no longer allows geolocation on unsecure pages (http),1
CSS transforms on SVG elements,1
On pageload HTML5 input element with autofocus losing focus,1
Modernizr.hasEvent doesn't work with animationend,1
Modernizr failing to know when WebGL has been disabled.,1
modernizr cli can run into problems with backslashes,1
detect ability to open multiple video streams concurrently,1
CSS: Generated Content Transition,3
How about automatic commit message style validation?,3
ES5 feature test fails with the minified build version,1
videoautoplay test inconsistent on mobile Chrome,1
New release?,3
webaudio detect description wrong,1
prefixed requestFullscreen failing on Firefox 49,1
deprecating old detect code,1
"generatedcontent + chrome + zoom, part deux",3
gradient safari 9.1,1
Wrongly detects cssvhunit when Chrome DevTools device mode is open,1
flexwrap not being returned.,1
False Positive with Modernizr.inputtypes.date in Chrome.,1
"Uncaught SecurityError: Failed to execute ""getImageData"" on emoji test",1
WebM Video Alpha Detection,3
Including csspseudotransitions causes issues with build,1
Add a function to test all features at once,3
Please add for a new datalist polyfill,3
Modernizr.inputtypes no class set.,1
`touchevents` is `true` on Chrome 54+ Windows,1
ES6 arrow feature detect is not being released,1
Console error in Firefox due to getComputedStyle in hidden IFrame,1
modernizr interferes w/ correct display of embed/iframe player,1
docs: error API item of CSS class/JS property,2
Modernizr + bootstrap only showing blank white page issue,1
touchevents check gives a false positive in Chrome for some specific scenarios with zoom involved,1
Sanitization bypass using HTML Entities (SEVERITY: HIGH),1
Wrong version number in license file.,1
Video autoplay detection is outdated for iOS 10,1
Web Cryptography and IE11 Support,3
input-formtarget detection not working,1
Page scrolls to iframe that includes modernizr,1
Form input types not working,1
Details-test broken on Firefox 49+ (Modernizr v.3.3.1),1
exiforientation feature detection fails on iOS,1
"When can i use css grid, varibles,and so on..",2
test_hyphens_find causes page to scroll to the top,1
bdi test failing in RTL mode,1
Hoping for support for Variable Fonts (via support for font-variation-settings),3
Modernizr says flex-wrap is supported in UC on Android,2
media-query max-resolution not working anymore,1
CSS :nth-child pseudo-selector test fails in Chrome when zoomed out,1
getusermedia not returning correct values,1
EINTEGRITY: npm 5.0 integrity check and modernizr.com dependency,1
Uncaught TypeError: _modernizr2.default.mq is not a function,1
Finer-grained selection for the inputtypes detect,1
H265 check,2
[WASM] - Add ability to extend DependenciesBlock<Module>,3
[WASM] - Create WASM Module type,3
[WASM] - It is possible to import and bundle WASM Modules,2
[WASM] There is a (temporary) runtime in chunk load code - Part 1: Sequential,1
[WASM] - Implementation and first uses complete - User Surface,3
[WASM] - Implement parallel WASM compilation,3
[WASM] - Implement DepBlock templates for WASM code.,3
[WASM] - Create runtime for WASM Module Compilation - Part 2,3
[WASM] - It is possible to import function from other modules from WASM,2
"[WASM] - Rust, LLVM Frontend Loaders",1
[WASM] - Handle shared memory across any/all WASMModules,3
loaderContext.loadModule does not load modules recursively,1
Show more accurate validation information for initial configuration,1
webpackUniversalModuleDefinition wrapper missing __webpack_require__ parameter,1
Provide option to disable initial compilation when watching,3
"require.resolveWeak does not have the same static resolution capabilities as import, require, etc",1
No global object available for {target: 'webworker'}|,1
UglifyJsPlugin: typescript sourcemap not match,1
Module parse failed should show which loaders it applied by default,1
Circular dependency in node utility module calling node's console module causes nil references,1
Wrong paths for css source maps,1
"Consider adding dynamic import's webpackMode as a configuration option, or eval the comment contents to get value",3
Reduce Circular Dependency Friction with Better Error Messages,1
"Webpack is slow to start and always performs work, even if it is unnecessary",1
Break library bundles into pieces,3
Compiler.run gives an error,1
Load chunked assets from path relative to a variable entry location on CDN,3
V4 Architecture: DependenciesBlock<Module> extensibility API,1
Having troubles resolving node_modules with main set to ./,1
Consider making all requires lazy (inline requires),3
It isn't made clear exactly how to use non-javascript webpack configs.,2
Resolve Modules Doesn't Resolve Modules,1
Failed to resolve es6 harmony import,1
"""module"" field in package.json breaks if author uses it",1
Able to track file removal in `watch-run`,3
file does not match the corresponding path on disk - File does not exist,1
This in module not undefined,1
Get error when dynamic require,1
CommonsChunkPlugin with children option unsafe for children with multiple parents,1
Problems with pnpm and the way loaders are resolved,1
"Webpack 3 RC ModuleConcatenationPlugin crash, out of memory",1
webpack is not generating source maps,1
Variable name mapping issue *only* when using ModuleConcatentationPlugin,1
Include only parts of Buffer interface,3
commonsChunkPlugins async  options  Invalid,1
Webpack 3 and babel-polyfill issue at runtime,1
Webpack 3 seems to have/cause a memory leak,1
naming chunk names in webpack configuration.,3
Base64 hashes in filenames should be URL-safe,1
Post Loaders don't work correctly (Webpack v3),1
[Webpack 3] Possible regression in cacheable packages (like react),3
Dynamic import behavior is inconsistent with static import,1
Webpack should not modify bundles on disk unless changed,1
output.pathinfo results in invalid javascript,1
resolve module in manifest.json when add the DllReferencePlugin,1
commonsChunkPlugins troubles with code splitting,1
Feature Request: Make the plugin API play nicely with type systems.,3
[enhancement] ModuleConcatenationPlugin - drop webpack bootstrap if possible,1
[Feature Request] Handle external missing in runtime. (Or make a guarantee before bootstrap),3
libraryTarget: umd' with nested namespace for optional dependency causes an error,1
Referencing `require` causes immediate exception,1
convert-argv.js adds HotModuleReplacementPlugin even when already available,1
Webpack keeps compiling,1
Add Chrome content script target,3
"Bug: ""Dead code"" eliminate media files",1
"Missing module at 1st build, present at consecutive build only from webpack@3",1
BUG: Uncaught (in promise) Error: Loading chunk 0 failed.,1
Module API require with dynamic load module causes variable  not defined,1
Use ModuleConcatenationPlugin generates code that raises exceptions,1
webpack --version reports 2.4.1,1
Wrong 'externals' processing,1
add missingNodeModulesPlugin support,3
ModuleConcatenationPlugin: Unexpected token,1
Provide clear output about when a build finishes,2
Webpack no longer supports define correctly,1
Unclear error message in case of Exclamation mark in project path breaking the build on Windows,2
Plugins always emitted in watch mode,1
Webpack should avoid including file content which contains no explicitly imported modules,3
Error in webpack-sources,1
"Filtering assets within the stats, like modules",3
Webpack 3 compile more than one time and webpack 2.7.0 and 2.6.1 no,1
bug: ExtendedAPIPlugin incorrectly causes 'cannot use [chunkhash] error',1
External replacing global variable in browser,1
WebPack fails to bundle libraryTarget: 'amd',1
help-output test fails on OSX,1
Warn user about duplicate plugins,1
UMD build does not export,1
Complex dynamic require doesn't map modules in resolve.modules,1
AggressiveSplittingPlugin and watch mode with multiple entry points.,2
Common chunks cannot find scripts in resolve.alias,1
Import error based on paths in resolve.modules,1
Loaders with same test parameter operate with one source.,1
EnvironmentPlugin: destructuring process.env doesn't work,1
[name] and [filebase] templates don't work in output.filename,1
Hot Module Replacement doesn't notice when a symlink is changed,1
Webpack dynamic require injects http script on a https server.,1
webpack --watch breaking site after modifying a file,1
Specify output directory with dynamic import,2
dynamic require inside if block fails to compile,3
stats.assetsByChunkName does not include dynamic chunks,1
Challenge [Search and Replace] - Tests are insufficient,3
I can't continue to next lesson all the page does is refresh and loads the same lesson over and over again,1
Error Checking If h2 Is Blue,1
Front end doesn't work,1
