validity,issue,url
4,"TITLE: test for ""w"" syntax support in <img srcset> BODY: This would be really useful. Generic srcset support test doesn't distinguish between the ""x"" and the ""w"" syntax. And if an author just uses the ""w"" syntax on a srcset-supporting but non-""w"" supporting browser (e.g. Safari 8), the user gets no image, not even the legacy ""src"".

I have some idea for how to do this but I don't want to reinvent the wheel. Anyone?
",https://github.com/Modernizr/Modernizr/issues/1448
1,"TITLE: Add test CSS Transform support in SVG BODY: Add a test if CSS Transform on SVG element is supported. Test `""transform"" in svgelement.style` return a false positive on IE 9-11+ (see [""Known issues"" tab for ""CSS3 Transforms"" post on ""Can I use""](http://caniuse.com/#feat=transforms2d)).

The following function works as expected:

```
function testSupport(svgRoot){
    // Don't forget the SVG namespace
    var g = document.createElementNS(""http://www.w3.org/2000/svg"", ""g""), style = g.style;
    svgRoot.appendChild(g);
    // Get the current position
    var left = g.getBoundingClientRect().left;
    style.msTransform = style.webkitTransform = style.transform = ""translate(100px,0)"";
    // Get the current position again to compare transform setting impact
    var newleft = g.getBoundingClientRect().left;
    g.parentNode.removeChild(g);
    // Compare positions. Should be different if CSS transform was applied
    return left != newleft;
}
```
",https://github.com/Modernizr/Modernizr/issues/1453
2,"TITLE: Detect support for scrollIntoView(scrollIntoViewOptions) BODY: no idea _how_, but it would be useful to just use [`element.scrollIntoView({behavior: ""smooth""})`](https://developer.mozilla.org/en-US/docs/Web/API/Element/scrollIntoView) if available and else some polyfill for smooth scrolling via JS.
",https://github.com/Modernizr/Modernizr/issues/1568
2,"TITLE: cssvwunit/cssvhunit tests give false negative in some browser zoom/widths BODY: To reproduce (all latest browsers except Safari, more on that below):
1. Set your browser to 961px width
2. Zoom to 110%
3. http://jsfiddle.net/6L7n2243/show/

`window.innerWidth` and `window.innerHeight` appear to be _rounded_ by the browser based on the calculated viewport size after a zoom, rather than _floored_ like we're used to.

If the window is 961px wide and the zoom is 110%, the viewport width is 961 \* 1/1.1 = 873.63, and the innerWidth is 874. The test div with 50vw would then be 873.63/2 = 436.815. Which when floored is one less than innerWidth/2 because `floor(round(n)/2) == floor(n/2)` is not true for every n. There are several other zoom level/window width combinations to make this happen.

Problem is, Safari DOES floor innerWidth and innerHeight (which I think is right). That makes it impossible to just do `round(testDivWidthFloat * 2) == innerWidth` which would be really nice. The other solution I'm exploring is using `getComputedStyle(document.documentElement).width` which gives you the fractional value of the viewport, rather than `innerWidth`, but I can't find enough information to know if that is reliable or not.
",https://github.com/Modernizr/Modernizr/issues/1569
2,"TITLE: False positive on pointer lock BODY: Hi,

It seems that current Chrome Android has a `document.pointerLockElement` property even though the feature is unsupported (per [this](https://groups.google.com/a/chromium.org/forum/#!topic/blink-dev/XE-5S1As-Lk) at least). So pointer lock gets reported as supported.

I don't suppose anyone can think of a better way to check? The browser also has `el.requestPointerLock()` methods, though they don't appear to do anything, so I'm not sure there's any way to correctly check.
",https://github.com/Modernizr/Modernizr/issues/1591
1,"TITLE: Double font file loading (via google API) in Firefox when modernizr is loaded at end of body BODY: When loading modernizr at the end of the body tag instead of head tag, font file requests from the google API seem to be duplicated in Firefox. It works fine in Chrome though.

Is there anything specific about Firefox? Or can anything be done against it, respectively?
",https://github.com/Modernizr/Modernizr/issues/1603
3,"TITLE: CORS detection in Chrome when on file protocol BODY: I am in a current dev of a d3.js based html page that needs to load external files via xmlhttprequest (called in d3.xhr functions).

When testing the files locally, it works fine in Safari and Firefox on OSX 10.10.3, but Chrome won't allow xmlhttprequest with _file protocol_ for security reasons, but Modernizr.cors = true. Console error message:

> Cross origin requests are only supported for protocol schemes: http, data, chrome, chrome-extension, https, chrome-extension-resource.

Is there a way to test that in Modernizr.cors, or maybe create another Modernizr.cors__file_?
",https://github.com/Modernizr/Modernizr/issues/1604
4,"TITLE: video autoplay gives incorrect value in IE and Edge BODY: Using 3 videos on one page at a time to three different sources, all mp4 with autoplay enabled like so:
<video style=""width:100%; height:100%;"" autoplay loop muted>
<source src=""whatever.mp4"">
</video>

The video autoplays on the screen, however running the test like so:
function runTest() {
            console.debug(Modernizr);
            Modernizr.on('videoautoplay', function (result) {
                console.debug(result);
                if (result) { $('#result').html('Autoplay is supported'); }
                else { $('#result').html('Autoplay is NOT supported'); }
            });
        }
(called on button click)
- gives the message that Autoplay is NOT supported, despite the videos autoplaying before my eyes.

It does work correctly in Chrome.  I didn't get as far as testing it on iPhone as it failed this early.
Thank you for your attention!
",https://github.com/Modernizr/Modernizr/issues/1619
2,"TITLE: softhyphensfind bug BODY: softhyphensfind test scroll on top body if page refresh in Google Chrome 44.0.2403.155 (64-bit) 
",https://github.com/Modernizr/Modernizr/issues/1632
4,"TITLE: Occasional 'Aw, Snap!' in Chrome when devtools open BODY: We've been experiencing an occasional Aw, Snap (tab crash) in Chrome.  
- it only occurs when devtools are open
  - which devtools panel doesn't seem to matter
- it occurs roughly one in every 10 page reloads
  - sometimes less, sometimes more.  occurs every time when you're trying to show someone something ;)
  - the variation may be due to asynchronous loading of Modernizr with an AMD loader (RequireJS)
- we're using the development build of Modernizr, all tests included
- happens in Chrome in Linux and Macs, have not tested Windows
  - not sure on specific versions, but has been happening for about a year, and continues to happen in Chrome unstable (currently 44.0.2391.0 for me)

I just discovered this morning that Modernizr is the cause of these, so I'm pretty excited to finally bury this annoying development bug.  I see that there were some issues way back in Chrome 10 with Aw Snaps relating to the webgl test.  I'm going to try turning off all the tests we don't use and see if that helps.  I'll post here when more info surfaces.
",https://github.com/Modernizr/Modernizr/issues/1637
